answerid,questionid,doctorid,text,votes
A001,Q200,D010,"Yes, based on your symptoms, you may be dealing with a respiratory infection. It is important to get a proper diagnosis and treatment.",5
A002,Q201,D025,"Your symptoms suggest a possible case of influenza. I recommend you get a flu test as soon as possible.",8
A003,Q202,D030,"It seems like you might be suffering from a stomach ulcer. Avoid spicy foods and consult with a gastroenterologist.",10
A004,Q203,D015,"It could be an allergic reaction to something you’ve recently consumed. Try antihistamines and consult an allergist if needed.",7
A005,Q204,D013,"You may have a vitamin deficiency, which is causing your fatigue. A blood test will confirm this. Take a multivitamin in the meantime.",12
A006,Q205,D019,"The symptoms point to a mild case of bronchitis. Make sure to rest and drink plenty of fluids while waiting for the inflammation to subside.",6
A007,Q206,D017,"This may be a sign of stress. I suggest a physical exam and stress management strategies to help relieve the symptoms.",11
A008,Q207,D014,"From the details, it looks like you might have eczema. Try using a topical ointment and avoid triggers like cold weather.",9
A009,Q208,D020,"This sounds like a potential case of pneumonia. Please visit the doctor immediately to get checked.",13
A010,Q209,D008,"Your condition might be due to dehydration. I suggest increasing your water intake and monitoring your symptoms closely.",14
A011,Q210,D011,"This seems like an issue with your thyroid gland. A blood test can confirm this condition, and medications can help.",5
A012,Q211,D012,"It is possible you are dealing with an eye infection. Please visit an ophthalmologist for proper treatment.",10
A013,Q212,D016,"Based on your symptoms, I believe it could be an early sign of arthritis. Early intervention is key, so see a rheumatologist.",7
A014,Q213,D022,"This could be a mild form of vertigo. Take it easy and avoid sudden head movements. If it persists, a neurologist visit is recommended.",6
A015,Q214,D009,"It looks like a skin condition that can be treated with over-the-counter cream. If it worsens, see a dermatologist.",9
A016,Q215,D018,"You might have a mild concussion. Make sure to rest, and avoid heavy activities for the next few days.",11
A017,Q216,D024,"Your symptoms are likely a case of digestive issues. A change in diet and avoiding fatty foods should help.",8
A018,Q217,D027,"It could be an issue with your kidneys. Drink more water and visit a nephrologist for further tests.",13
A019,Q218,D029,"This looks like an indication of a cold. Take rest, drink warm fluids, and if it doesn’t improve, see a doctor.",14
A020,Q219,D007,"It may be an allergic reaction to a medication. Please check with your prescribing doctor and switch medications if needed.",10
